sample_id,query,asv_read_index,asv_read_raw,asv_pa,terrestrial,holoplankton
GH002,ASV486,0,0,0,0,0
GH002,ASV488,0,0,0,0,1
GH002,ASV495,0,0,0,0,0
GH002,ASV497,0,0,0,0,0
GH002,ASV498,0,0,0,0,1
GH002,ASV504,0,0,0,0,0
GH002,ASV507,0,0,0,0,1
GH002,ASV509,0,0,0,0,1
GH002,ASV513,0,0,0,0,0
GH002,ASV516,0,0,0,0,1
GH002,ASV520,0,0,0,0,0
GH002,ASV522,0,0,0,0,0
GH002,ASV533,0,0,0,0,0
GH002,ASV552,0,0,0,0,1
GH002,ASV554,0,0,0,0,0
GH002,ASV557,0,0,0,0,1
GH002,ASV558,0,0,0,0,0
GH002,ASV569,0,0,0,0,0
GH002,ASV570,0,0,0,0,1
GH002,ASV571,0,0,0,0,1
GH002,ASV579,0,0,0,0,1
GH002,ASV587,0,0,0,0,1
GH002,ASV600,0,0,0,0,1
GH002,ASV606,0,0,0,0,1
GH002,ASV612,0,0,0,0,0
GH002,ASV615,0,0,0,0,1
GH002,ASV634,0,0,0,0,1
GH002,ASV639,0,0,0,0,1
GH002,ASV643,0,0,0,0,0
GH002,ASV663,0,0,0,0,1
GH002,ASV670,0,0,0,0,1
GH002,ASV671,0,0,0,0,0
GH002,ASV673,0,0,0,0,1
GH002,ASV677,0,0,0,0,0
GH002,ASV680,0,0,0,0,1
GH002,ASV681,0,0,0,0,1
GH002,ASV683,1,251,1,0,1
GH002,ASV692,0,0,0,0,0
GH002,ASV698,0,0,0,0,0
GH002,ASV704,0.9510138869507818,535,1,0,1
GH002,ASV709,0,0,0,0,0
GH002,ASV726,0,0,0,0,1
GH002,ASV734,0,0,0,0,0
GH002,ASV745,0,0,0,0,1
GH002,ASV747,0,0,0,0,1
GH002,ASV749,0,0,0,0,0
GH002,ASV752,0,0,0,0,1
GH002,ASV755,0,0,0,0,1
GH002,ASV760,0,0,0,0,1
GH002,ASV764,0,0,0,0,0
GH002,ASV774,0,0,0,0,1
GH002,ASV776,0,0,0,0,1
GH002,ASV778,0,0,0,0,0
GH002,ASV781,0,0,0,0,1
GH002,ASV798,0,0,0,0,0
GH002,ASV804,0,0,0,0,0
GH002,ASV807,0,0,0,0,0
GH002,ASV810,0,0,0,0,1
GH002,ASV817,0,0,0,0,1
GH002,ASV823,0,0,0,0,1
GH002,ASV824,0,0,0,0,1
GH002,ASV827,0,0,0,0,1
GH002,ASV830,0,0,0,0,1
GH002,ASV831,0,0,0,0,0
GH002,ASV833,0,0,0,0,0
GH002,ASV839,0,0,0,0,1
GH002,ASV843,0,0,0,0,1
GH002,ASV866,0,0,0,0,0
GH002,ASV872,0,0,0,0,1
GH002,ASV877,0,0,0,0,1
GH002,ASV880,0,0,0,0,1
GH002,ASV881,0,0,0,0,0
GH002,ASV889,0,0,0,0,0
GH002,ASV896,0,0,0,0,0
GH002,ASV897,0,0,0,0,1
GH002,ASV902,0,0,0,0,1
GH002,ASV905,0,0,0,0,0
GH002,ASV910,0,0,0,0,1
GH002,ASV914,0,0,0,0,1
GH002,ASV918,0,0,0,0,1
GH002,ASV919,0,0,0,0,0
GH002,ASV923,0,0,0,0,0
GH002,ASV930,0,0,0,0,1
GH002,ASV936,0,0,0,0,0
GH002,ASV937,0,0,0,0,0
GH002,ASV950,0,0,0,0,1
GH002,ASV955,0,0,0,0,1
GH002,ASV956,0,0,0,0,1
GH002,ASV964,0,0,0,0,0
GH002,ASV966,0,0,0,0,1
GH002,ASV975,0,0,0,0,1
GH002,ASV982,0,0,0,0,1
GH002,ASV983,0,0,0,0,1
GH002,ASV992,0,0,0,0,1
GH002,ASV996,0,0,0,0,0
GH002,ASV1003,0,0,0,0,1
GH002,ASV1006,0,0,0,0,0
GH002,ASV1027,0,0,0,0,0
GH002,ASV1036,0.10535170256417369,39,1,0,0
GH002,ASV1040,0,0,0,0,1
GH002,ASV1043,1,167,1,0,1
GH002,ASV1045,0,0,0,0,1
GH002,ASV1048,0,0,0,0,1
GH002,ASV1056,0,0,0,0,0
GH002,ASV1072,0,0,0,0,1
GH002,ASV1086,0,0,0,0,0
GH002,ASV1087,0,0,0,0,1
GH002,ASV1088,0,0,0,0,1
GH002,ASV1089,0,0,0,0,1
GH002,ASV1092,0,0,0,0,1
GH002,ASV1094,0,0,0,0,0
GH002,ASV1099,0,0,0,0,1
GH002,ASV1104,0,0,0,0,1
GH002,ASV1115,1,332,1,0,1
GH002,ASV1120,0.8727027364137336,88,1,0,0
GH002,ASV1121,0,0,0,0,1
GH002,ASV1126,0,0,0,0,1
GH002,ASV1127,0,0,0,0,0
GH002,ASV1131,0,0,0,0,1
GH002,ASV1136,0,0,0,0,0
GH002,ASV1137,0,0,0,0,0
GH002,ASV1145,0,0,0,0,0
GH002,ASV1150,0,0,0,0,0
GH002,ASV1156,0,0,0,0,0
GH002,ASV1168,0,0,0,0,0
GH002,ASV1173,0,0,0,0,1
GH002,ASV1184,0,0,0,0,0
GH002,ASV1188,0,0,0,0,1
GH002,ASV1201,0,0,0,0,1
GH002,ASV1202,0,0,0,0,1
GH002,ASV1209,0,0,0,0,1
GH002,ASV1210,0,0,0,0,1
GH002,ASV1212,0,0,0,0,1
GH002,ASV1224,0,0,0,0,1
GH002,ASV1228,0,0,0,0,1
GH002,ASV1232,0,0,0,0,1
GH002,ASV1235,0,0,0,0,0
GH002,ASV1237,0,0,0,0,1
GH002,ASV1241,0,0,0,0,1
GH002,ASV1244,0,0,0,0,0
GH002,ASV1246,0,0,0,0,1
GH002,ASV1249,0,0,0,0,1
GH002,ASV1258,0,0,0,0,1
GH002,ASV1261,0,0,0,0,0
GH002,ASV1262,0,0,0,0,1
GH002,ASV1263,0,0,0,0,0
GH002,ASV1271,0,0,0,0,0
GH002,ASV1273,0,0,0,0,0
GH002,ASV1275,0,0,0,0,1
GH002,ASV1281,0,0,0,0,1
GH002,ASV1294,0,0,0,0,1
GH002,ASV1305,0,0,0,0,0
GH002,ASV1308,0,0,0,0,0
GH002,ASV1310,0,0,0,0,1
GH002,ASV1316,0,0,0,0,1
GH002,ASV1317,0,0,0,0,0
GH002,ASV1318,0,0,0,0,0
GH002,ASV1324,0,0,0,0,1
GH002,ASV1329,0,0,0,0,0
GH002,ASV1338,0,0,0,0,0
