sample_id,query,asv_read_index,asv_read_raw,asv_pa,kingdom,metazoa_terrestrial
GH001,ASV458,0,0,0,Metazoa,0
GH001,ASV459,0,0,0,Metazoa,0
GH001,ASV460,0,0,0,Metazoa,0
GH001,ASV461,0,0,0,Metazoa,0
GH001,ASV462,0,0,0,Metazoa,0
GH001,ASV463,0,0,0,NA,0
GH001,ASV464,0,0,0,Metazoa,0
GH001,ASV465,0,0,0,NA,0
GH001,ASV466,0,0,0,Metazoa,0
GH001,ASV467,0,0,0,Metazoa,0
GH001,ASV468,0,0,0,Metazoa,0
GH001,ASV469,0,0,0,Metazoa,0
GH001,ASV470,0,0,0,Metazoa,0
GH001,ASV471,0,0,0,Metazoa,0
GH001,ASV472,0,0,0,Metazoa,0
GH001,ASV473,0,0,0,NA,0
GH001,ASV474,0,0,0,Metazoa,0
GH001,ASV475,0,0,0,Metazoa,0
GH001,ASV476,0,0,0,Metazoa,0
GH001,ASV477,0,0,0,Metazoa,0
GH001,ASV478,0,0,0,Metazoa,0
GH001,ASV479,0,0,0,Metazoa,0
GH001,ASV480,0,0,0,Metazoa,1
GH001,ASV481,0,0,0,Metazoa,1
GH001,ASV482,0,0,0,Metazoa,1
GH001,ASV483,0,0,0,Metazoa,1
GH001,ASV484,0,0,0,Metazoa,1
GH001,ASV485,0,0,0,Metazoa,1
GH001,ASV486,0,0,0,Metazoa,1
GH001,ASV487,0,0,0,Metazoa,1
GH001,ASV488,0,0,0,Metazoa,1
GH001,ASV489,0,0,0,Metazoa,1
GH001,ASV490,0,0,0,Metazoa,0
GH001,ASV491,0,0,0,Metazoa,0
GH001,ASV492,0,0,0,Metazoa,0
GH001,ASV493,0,0,0,Metazoa,0
GH001,ASV494,0,0,0,Metazoa,0
GH001,ASV495,0,0,0,Metazoa,0
GH001,ASV496,0,0,0,Metazoa,0
GH001,ASV497,0,0,0,Metazoa,0
GH001,ASV498,0,0,0,Metazoa,0
GH001,ASV499,0,0,0,Metazoa,0
GH001,ASV500,0,0,0,Metazoa,0
GH001,ASV501,0,0,0,Metazoa,0
GH001,ASV502,0,0,0,Metazoa,0
GH001,ASV503,0,0,0,Metazoa,0
